"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the predict endpoint returns processing time","124","test_predict_includes_processing_time","tests","Wed Aug 20 08:25:08 UTC 2025","passed","Wed Aug 20 08:25:08 UTC 2025","TestProcessingTime","test_prediction_time","",""
"","14","test_get_prediction_image_unauthorized","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"Test prediction endpoint using an image from Pixabay.","883","test_labels_after_prediction","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:05 UTC 2025","Test_labels","test_labels","",""
"","27","test_get_predicted_image_success","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetImage","test_get_image_type","",""
"","33","test_missing_username_or_password","tests","Wed Aug 20 08:25:05 UTC 2025","passed","Wed Aug 20 08:25:05 UTC 2025","TestLogin","test_login","",""
"","134","test_stats_after_prediction","tests","Wed Aug 20 08:25:08 UTC 2025","passed","Wed Aug 20 08:25:08 UTC 2025","Test_Stats","test_stats","",""
"","17","test_prediction_count_empty","tests","Wed Aug 20 08:25:07 UTC 2025","passed","Wed Aug 20 08:25:07 UTC 2025","Test_Count","test_prediction_count","",""
"","20","test_get_image_unauthorized","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetImage","test_get_image_type","",""
"","777","test_get_predictions_by_score_valid","tests","Wed Aug 20 08:25:07 UTC 2025","passed","Wed Aug 20 08:25:08 UTC 2025","TestGetPredictionsByScore","test_prediction_min_score","",""
"","15","test_get_prediction_image_success_png","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","134","test_prediction_count_after_prediction","tests","Wed Aug 20 08:25:07 UTC 2025","passed","Wed Aug 20 08:25:07 UTC 2025","Test_Count","test_prediction_count","",""
"","23","test_prediction_unsupported_format","tests","Wed Aug 20 08:25:05 UTC 2025","passed","Wed Aug 20 08:25:05 UTC 2025","Test_Stats","test_prediction","",""
"","18","test_get_prediction_image_file_not_found","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","26","test_prediction_inference_error","tests","Wed Aug 20 08:25:05 UTC 2025","passed","Wed Aug 20 08:25:05 UTC 2025","Test_Stats","test_prediction","",""
"","524","test_get_predictions_by_valid_label","tests","Wed Aug 20 08:25:06 UTC 2025","passed","Wed Aug 20 08:25:06 UTC 2025","TestGetPredictionsByLabel","test_prediction_by_lable","",""
"","17","test_get_prediction_image_success_jpeg","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","137","test_get_prediction_by_uid_not_found","tests","Wed Aug 20 08:25:06 UTC 2025","passed","Wed Aug 20 08:25:06 UTC 2025","TestGetPredictionByUid","test_prediction_by_uid","",""
"","135","test_prediction_unauthorized_and_image_no_lable","tests","Wed Aug 20 08:25:05 UTC 2025","passed","Wed Aug 20 08:25:05 UTC 2025","Test_Stats","test_prediction","",""
"","18","test_get_prediction_image_not_acceptable","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","21","test_successful_login","tests","Wed Aug 20 08:25:05 UTC 2025","passed","Wed Aug 20 08:25:05 UTC 2025","TestLogin","test_login","",""
"","128","test_prediction_valid_image","tests","Wed Aug 20 08:25:05 UTC 2025","passed","Wed Aug 20 08:25:05 UTC 2025","Test_Stats","test_prediction","",""
"","16","test_get_prediction_image_not_found_in_db","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","23","test_detete_not_found","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","Test_Delete","test_delete","",""
"","128","test_get_predictions_by_high_score","tests","Wed Aug 20 08:25:07 UTC 2025","passed","Wed Aug 20 08:25:07 UTC 2025","TestGetPredictionsByScore","test_prediction_min_score","",""
"","19","test_stats_empty","tests","Wed Aug 20 08:25:08 UTC 2025","passed","Wed Aug 20 08:25:08 UTC 2025","Test_Stats","test_stats","",""
"","21","test_get_nonexistent_image","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetImage","test_get_image_type","",""
"","129","test_get_prediction_by_uid_success","tests","Wed Aug 20 08:25:06 UTC 2025","passed","Wed Aug 20 08:25:07 UTC 2025","TestGetPredictionByUid","test_prediction_by_uid","",""
"","470","test_get_predictions_by_invalid_label","tests","Wed Aug 20 08:25:05 UTC 2025","passed","Wed Aug 20 08:25:06 UTC 2025","TestGetPredictionsByLabel","test_prediction_by_lable","",""
"","21","test_get_invalid_image_type","tests","Wed Aug 20 08:25:04 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","TestGetImage","test_get_image_type","",""
"","2764","test_delete_prediction","tests","Wed Aug 20 08:25:01 UTC 2025","passed","Wed Aug 20 08:25:04 UTC 2025","Test_Delete","test_delete","",""
