"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","test_prediction_count_after_prediction","tests","Wed Aug 20 08:31:55 UTC 2025","passed","Wed Aug 20 08:31:55 UTC 2025","Test_Count","test_prediction_count","",""
"","599","test_get_predictions_by_score_valid","tests","Wed Aug 20 08:31:55 UTC 2025","passed","Wed Aug 20 08:31:56 UTC 2025","TestGetPredictionsByScore","test_prediction_min_score","",""
"","139","test_get_predictions_by_high_score","tests","Wed Aug 20 08:31:55 UTC 2025","passed","Wed Aug 20 08:31:55 UTC 2025","TestGetPredictionsByScore","test_prediction_min_score","",""
"","19","test_stats_empty","tests","Wed Aug 20 08:31:56 UTC 2025","passed","Wed Aug 20 08:31:56 UTC 2025","Test_Stats","test_stats","",""
"","15","test_get_prediction_image_not_acceptable","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","22","test_detete_not_found","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","Test_Delete","test_delete","",""
"","18","test_get_prediction_image_success_jpeg","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","2186","test_delete_prediction","tests","Wed Aug 20 08:31:50 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","Test_Delete","test_delete","",""
"Test that the predict endpoint returns processing time","133","test_predict_includes_processing_time","tests","Wed Aug 20 08:31:56 UTC 2025","passed","Wed Aug 20 08:31:56 UTC 2025","TestProcessingTime","test_prediction_time","",""
"","524","test_get_predictions_by_valid_label","tests","Wed Aug 20 08:31:54 UTC 2025","passed","Wed Aug 20 08:31:55 UTC 2025","TestGetPredictionsByLabel","test_prediction_by_lable","",""
"Test prediction endpoint using an image from Pixabay.","792","test_labels_after_prediction","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:53 UTC 2025","Test_labels","test_labels","",""
"","24","test_prediction_unsupported_format","tests","Wed Aug 20 08:31:53 UTC 2025","passed","Wed Aug 20 08:31:53 UTC 2025","Test_Stats","test_prediction","",""
"","20","test_prediction_count_empty","tests","Wed Aug 20 08:31:55 UTC 2025","passed","Wed Aug 20 08:31:55 UTC 2025","Test_Count","test_prediction_count","",""
"","139","test_get_prediction_by_uid_not_found","tests","Wed Aug 20 08:31:55 UTC 2025","passed","Wed Aug 20 08:31:55 UTC 2025","TestGetPredictionByUid","test_prediction_by_uid","",""
"","138","test_prediction_unauthorized_and_image_no_lable","tests","Wed Aug 20 08:31:53 UTC 2025","passed","Wed Aug 20 08:31:53 UTC 2025","Test_Stats","test_prediction","",""
"","140","test_get_prediction_by_uid_success","tests","Wed Aug 20 08:31:55 UTC 2025","passed","Wed Aug 20 08:31:55 UTC 2025","TestGetPredictionByUid","test_prediction_by_uid","",""
"","16","test_get_prediction_image_success_png","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","20","test_get_image_unauthorized","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetImage","test_get_image_type","",""
"","20","test_successful_login","tests","Wed Aug 20 08:31:53 UTC 2025","passed","Wed Aug 20 08:31:53 UTC 2025","TestLogin","test_login","",""
"","21","test_get_invalid_image_type","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetImage","test_get_image_type","",""
"","132","test_stats_after_prediction","tests","Wed Aug 20 08:31:56 UTC 2025","passed","Wed Aug 20 08:31:56 UTC 2025","Test_Stats","test_stats","",""
"","19","test_get_prediction_image_file_not_found","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","26","test_get_predicted_image_success","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetImage","test_get_image_type","",""
"","15","test_get_prediction_image_not_found_in_db","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","22","test_prediction_inference_error","tests","Wed Aug 20 08:31:53 UTC 2025","passed","Wed Aug 20 08:31:53 UTC 2025","Test_Stats","test_prediction","",""
"","21","test_get_nonexistent_image","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetImage","test_get_image_type","",""
"","723","test_get_predictions_by_invalid_label","tests","Wed Aug 20 08:31:54 UTC 2025","passed","Wed Aug 20 08:31:54 UTC 2025","TestGetPredictionsByLabel","test_prediction_by_lable","",""
"","134","test_prediction_valid_image","tests","Wed Aug 20 08:31:53 UTC 2025","passed","Wed Aug 20 08:31:54 UTC 2025","Test_Stats","test_prediction","",""
"","14","test_get_prediction_image_unauthorized","tests","Wed Aug 20 08:31:52 UTC 2025","passed","Wed Aug 20 08:31:52 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","20","test_missing_username_or_password","tests","Wed Aug 20 08:31:53 UTC 2025","passed","Wed Aug 20 08:31:53 UTC 2025","TestLogin","test_login","",""
